iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
DEU,Europe,Germany,12-02-2020,15,2,0,0,0.179,0.024,0,0,,,,,,,,11.11,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,13-02-2020,15,0,0,0,0.179,0,0,0,,,,,,,,11.11,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,14-02-2020,15,0,0,0,0.179,0,0,0,,,,,,,,11.11,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,15-02-2020,15,0,0,0,0.179,0,0,0,,,,,,,,11.11,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,16-02-2020,15,0,0,0,0.179,0,0,0,,,,,,,,11.11,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,17-02-2020,15,0,0,0,0.179,0,0,0,,,,,,,,11.11,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,18-02-2020,15,0,0,0,0.179,0,0,0,,,,,,,,11.11,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,19-02-2020,15,0,0,0,0.179,0,0,0,,,,,,,,11.11,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,20-02-2020,15,0,0,0,0.179,0,0,0,,,,,,,,11.11,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,21-02-2020,15,0,0,0,0.179,0,0,0,,,,,,,,11.11,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,22-02-2020,15,0,0,0,0.179,0,0,0,,,,,,,,11.11,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,23-02-2020,15,0,0,0,0.179,0,0,0,,,,,,,,11.11,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,24-02-2020,15,0,0,0,0.179,0,0,0,,,,,,,,11.11,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,25-02-2020,15,0,0,0,0.179,0,0,0,,,,,,,,11.11,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,26-02-2020,17,2,0,0,0.203,0.024,0,0,,,,,,,,16.67,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,27-02-2020,21,4,0,0,0.251,0.048,0,0,,,,,,,,16.67,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,28-02-2020,47,26,0,0,0.561,0.31,0,0,,,,,,,,19.44,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,29-02-2020,57,10,0,0,0.68,0.119,0,0,,,,,,,,25,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,01-03-2020,111,54,0,0,1.325,0.645,0,0,,,,,,,,25,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,02-03-2020,129,18,0,0,1.54,0.215,0,0,,,,,,,,25,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,03-03-2020,157,28,0,0,1.874,0.334,0,0,,,,,,,,25,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,04-03-2020,196,39,0,0,2.339,0.465,0,0,,,,,,,,25,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,05-03-2020,262,66,0,0,3.127,0.788,0,0,,,,,,,,25,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,06-03-2020,400,138,0,0,4.774,1.647,0,0,,,,,,,,25,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,07-03-2020,684,284,0,0,8.164,3.39,0,0,,,,,,,,25,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,08-03-2020,847,163,0,0,10.109,1.945,0,0,124716,,1.489,,,,tests performed,25,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,09-03-2020,902,55,0,0,10.766,0.656,0,0,,,,,,,tests performed,28.7,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,10-03-2020,1139,237,2,2,13.594,2.829,0.024,0.024,,,,,,,tests performed,32.87,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
